m	μέτρο	μέτρα
km	χιλιόμετρο	χιλιόμετρα
cm	εκατοστό	εκατοστά
mm	χιλιοστό	χιλιοστά
kg	κιλό	κιλά
g	γραμμάριο	γραμμάρια
mg	χιλιοστόγραμμο	χιλιοστόγραμμα
l	λίτρο	λίτρα
ml	χιλιοστόλιτρο	χιλιοστόλιτρα
m²	τετραγωνικό μέτρο	τετραγωνικά μέτρα
m³	κυβικό μέτρο	κυβικά μέτρα
°C	βαθμός Κελσίου	βαθμοί Κελσίου
°F	βαθμός Φαρενάιτ	βαθμοί Φαρενάιτ
km/h	χιλιόμετρο ανά ώρα	χιλιόμετρα ανά ώρα
m/s	μέτρο ανά δευτερόλεπτο	μέτρα ανά δευτερόλεπτο
Hz	χερτζ
kHz	κιλοχέρτζ
MHz	μεγαχέρτζ
GHz	γιγαχέρτζ
W	βατ
kW	κιλοβάτ
MW	μεγαβάτ
V	βολτ
A	αμπέρ
Ω	ωμ
